id,DistSim,GranSim,LevSim
631,0.00,0.20,0.09
632,0.00,0.20,0.37
633,0.00,0.20,0.11
634,0.00,0.20,0.33
635,0.00,0.20,0.28
636,0.00,0.33,0.15
637,0.00,0.20,0.00
638,0.00,0.20,0.14
639,0.00,0.20,0.00
640,0.00,0.20,0.28
641,0.00,0.25,0.00
642,0.00,0.20,0.16
643,0.00,0.20,0.00
644,0.00,0.20,0.22
645,0.00,0.20,0.25
646,0.00,0.20,0.23
647,0.00,0.20,0.25
648,0.00,0.20,0.15
649,0.00,0.20,0.15
650,0.00,0.33,0.15
651,0.00,0.20,0.15
652,0.00,0.20,0.16
653,0.00,0.20,0.23
654,0.00,0.20,0.16
655,0.00,0.25,0.15
656,0.00,0.20,0.15
657,0.00,0.20,0.16
658,0.00,0.20,0.22
659,0.00,0.50,0.25
660,0.00,0.16,0.25
661,0.00,0.20,0.50
662,0.00,0.60,0.22
663,0.00,0.16,0.53
664,0.00,0.33,0.23
665,0.00,0.20,0.38
666,0.00,0.20,0.33
667,0.00,0.16,0.28
668,0.00,0.16,0.28
669,0.00,0.75,0.38
670,0.00,0.20,0.23
671,0.00,0.16,0.53
672,0.00,0.20,0.33
673,0.00,0.16,0.16
674,0.00,0.16,0.25
675,0.00,0.20,0.30
676,0.00,0.20,0.22
677,0.00,0.50,0.50
678,0.00,0.33,0.23
679,0.00,0.60,0.37
680,0.00,0.20,0.29
681,0.71,0.66,0.42
682,0.00,0.50,0.33
683,0.00,0.25,0.37
684,0.00,0.20,0.20
685,0.00,0.42,0.37
686,0.00,0.60,0.22
687,0.00,0.16,0.23
688,0.00,0.16,0.18
689,0.00,0.20,0.22
690,0.00,0.20,0.36
691,0.00,0.66,0.18
692,0.00,0.33,0.15
693,0.00,0.60,0.27
694,0.00,0.20,0.07
695,0.00,0.50,0.27
696,0.00,0.50,0.18
697,0.00,0.25,0.18
698,0.00,0.20,0.16
699,0.00,0.42,0.09
700,0.00,0.60,0.20
701,0.00,0.16,0.23
702,0.00,0.16,0.07
703,0.00,0.20,0.25
704,0.00,0.20,0.23
705,0.00,0.50,0.07
706,0.00,0.33,0.07
707,0.00,0.60,0.23
708,0.00,0.20,0.00
709,0.33,0.66,0.15
710,0.00,0.50,0.07
711,0.00,0.25,0.23
712,0.00,0.20,0.07
713,0.00,0.42,0.07
714,0.00,0.60,0.23
715,0.79,0.50,0.25
716,0.00,0.16,0.12
717,0.00,0.20,0.30
718,0.00,0.60,0.11
719,0.00,0.16,0.33
720,0.00,0.33,0.23
721,0.00,0.20,0.25
722,0.00,0.20,0.27
723,0.00,0.16,0.37
724,0.00,0.16,0.20
725,0.00,0.75,0.33
726,0.00,0.20,0.22
727,0.00,0.16,0.33
728,0.00,0.20,0.40
729,0.00,0.33,0.18
730,0.00,0.33,0.09
731,0.00,0.33,0.25
732,0.00,0.33,0.18
733,0.00,0.33,0.18
734,0.00,0.66,0.07
735,0.00,0.33,0.36
736,0.00,0.33,0.41
737,0.00,0.33,0.27
738,0.00,0.33,0.18
739,0.00,0.33,0.28
740,0.00,0.33,0.25
741,0.00,0.33,0.36
742,0.00,0.33,0.16
743,0.00,0.25,0.20
744,0.08,0.75,0.50
745,0.00,0.75,0.42
746,0.00,0.25,0.27
747,0.00,0.25,0.33
748,0.00,0.33,0.20
749,0.00,0.25,0.28
750,0.00,0.75,0.33
751,0.00,0.25,0.18
752,0.00,0.25,0.42
753,0.00,0.25,0.28
754,0.00,0.50,0.33
755,0.00,0.25,0.33
756,0.00,0.25,0.22
757,0.00,0.50,0.28
758,0.00,0.16,0.12
759,0.00,0.20,0.23
760,0.00,0.60,0.22
761,0.00,0.16,0.33
762,0.00,0.33,0.15
763,0.00,0.20,0.25
764,0.00,0.20,0.36
765,0.00,0.16,0.25
766,0.00,0.16,0.27
767,0.00,0.75,0.30
768,0.00,0.20,0.25
769,0.00,0.16,0.60
770,0.00,0.20,0.22
771,0.00,0.20,0.16
772,0.00,0.40,0.14
773,0.00,0.40,0.33
774,0.00,0.20,0.14
775,0.00,0.20,0.30
776,0.00,0.33,0.15
777,0.00,0.20,0.42
778,0.00,0.40,0.35
779,0.00,0.20,0.28
780,0.00,0.20,0.15
781,0.00,0.25,0.42
782,0.00,0.60,0.30
783,0.00,0.20,0.30
784,0.00,0.20,0.27
785,0.00,0.20,0.29
786,0.00,0.40,0.25
787,0.00,0.40,0.66
788,0.00,0.20,0.11
789,0.00,0.20,0.40
790,0.00,0.33,0.20
791,0.00,0.20,0.42
792,0.00,0.40,0.33
793,0.00,0.20,0.33
794,0.00,0.20,0.22
795,0.00,0.25,0.50
796,0.62,0.60,0.33
797,0.00,0.20,0.33
798,0.00,0.20,0.33
799,0.00,0.50,0.25
800,0.00,0.16,0.13
801,0.00,0.20,0.36
802,0.00,0.60,0.21
803,0.00,0.16,0.27
804,0.00,0.33,0.18
805,0.00,0.20,0.38
806,0.00,0.20,0.36
807,0.00,0.16,0.37
808,0.00,0.16,0.27
809,0.00,0.75,0.30
810,0.00,0.20,0.39
811,0.00,0.16,0.40
812,0.00,0.20,0.23
813,0.00,0.20,0.14
814,0.00,0.20,0.00
815,0.00,0.20,0.26
816,0.00,0.20,0.11
817,0.00,0.20,0.22
818,0.00,0.33,0.15
819,0.00,0.20,0.26
820,0.00,0.20,0.21
821,0.00,0.20,0.06
822,0.00,0.20,0.26
823,0.00,0.25,0.25
824,0.00,0.20,0.10
825,0.00,0.20,0.33
826,0.00,0.20,0.25
827,0.93,0.80,0.33
828,0.00,0.20,0.16
829,0.00,0.20,0.29
830,0.00,0.60,0.16
831,0.00,0.20,0.33
832,0.00,0.33,0.23
833,0.00,0.20,0.42
834,0.00,0.20,0.27
835,0.00,0.20,0.25
836,0.00,0.20,0.33
837,0.00,0.75,0.44
838,0.00,0.20,0.23
839,0.00,0.20,0.58
840,0.00,0.20,0.40
841,0.00,0.16,0.19
842,0.00,0.16,0.12
843,0.00,0.20,0.18
844,0.00,0.20,0.00
845,0.00,0.50,0.22
846,0.00,0.33,0.23
847,0.41,0.80,0.25
848,0.00,0.20,0.09
849,0.00,0.50,0.14
850,0.00,0.66,0.18
851,0.00,0.25,0.33
852,0.00,0.20,0.12
853,0.00,0.50,0.25
854,0.00,0.80,0.30
855,0.00,0.16,0.16
856,0.00,0.16,0.12
857,0.00,0.20,0.20
858,0.00,0.20,0.11
859,0.00,0.50,0.20
860,0.00,0.33,0.07
861,0.87,1.00,0.28
862,0.00,0.20,0.27
863,0.00,0.50,0.50
864,0.36,0.83,0.33
865,0.00,0.25,0.35
866,0.00,0.20,0.40
867,0.00,0.50,0.33
868,0.00,0.80,0.30
869,0.00,0.16,0.14
870,0.00,0.16,0.12
871,0.00,0.20,0.18
872,0.00,0.20,0.22
873,0.00,0.66,0.20
874,0.00,0.33,0.15
875,0.00,0.60,0.28
876,0.00,0.20,0.30
877,0.00,0.50,0.25
878,0.00,0.50,0.42
879,0.00,0.25,0.21
